,player_name,team_name,primary_position,player_season_90s_played,player_season_obv_90,player_season_obv_pass_90,player_season_obv_shot_90,player_season_obv_defensive_action_90,player_season_obv_dribble_carry_90,player_season_obv_gk_90,player_season_np_xg_90
131,Tshediso Patjie,Swallows FC,Left Wing,4.150741,0.00817363,0.07774176,-0.082385756,0.01610602,-0.0032883964,,0.074139304
132,Augustine Mahlonoko,Swallows FC,Centre Attacking Midfielder,5.990741,0.34953505,-0.030719012,0.18516712,0.030169463,0.16491747,,0.28365725
133,Gadinkame Malebogo Modise,Chippa United FC,Left Back,13.071298,0.30938742,0.2395947,-0.020926915,0.02709982,0.06361984,,0.020079998
134,Nazeer Allie,Cape Town Spurs,Right Back,10.8570385,0.19393377,0.14563504,0.0023942695,0.029921364,0.015983054,,0.0053602243
135,Pogiso Sanoka,TS Galaxy FC,Left Centre Back,31.536852,0.1281312,0.055105686,-0.01924697,0.0400815,0.05219098,,0.016172845
136,Thabiso Simon Kutumela,Cape Town City FC,Left Attacking Midfielder,17.334444,0.0019930443,-0.00032956863,-0.026513683,0.022609144,0.0062271412,,0.11204813
137,Bongani Mpandle,Cape Town City FC,Goalkeeper,1.1242592,-0.30323136,0.07131733,,,0.018054571,-0.39260322,0.0
138,Rushine De Reuck,Mamelodi Sundowns FC,Left Centre Back,2.4109259,-0.013997276,0.018269842,-0.054519523,-0.008385506,0.030637912,,0.039901886
139,Bandile Shandu,Orlando Pirates FC,Right Back,4.552963,0.42110848,0.19948603,0.14704643,0.03846852,0.03610757,,0.10408996
140,Tebogo Tlolane,Lamontville Golden Arrows FC,Centre Attacking Midfielder,5.658519,0.0037195422,-0.03271519,-0.061938796,0.03216396,0.06620957,,0.0775345
141,Keagan Wilbur Buchanan,Cape Town Spurs,Right Defensive Midfielder,9.37648,0.23422664,0.18899107,-0.015775595,0.032688003,0.02832318,,0.022233482
142,Jesse Robert Donn,SuperSport United FC,Right Defensive Midfielder,0.46259257,0.5091632,0.41017085,,0.089603595,0.00938872,,0.0
143,Clayton Daniels,Cape Town Spurs,Right Centre Back,11.958519,0.07942769,0.06686159,-0.053996623,0.038770728,0.027792007,,0.026985936
144,Bradley Grobler,SuperSport United FC,Centre Forward,21.136297,-0.08401011,0.0065025273,-0.03287502,-0.00619666,-0.05144096,,0.3575692
145,Gamphani Jones Lungu,SuperSport United FC,Right Wing,20.482224,0.18198398,0.120157436,-0.029951498,0.057158064,0.034619972,,0.054999582
146,Onismor Bhasera,SuperSport United FC,Left Back,13.161296,0.15439743,0.17665476,-0.08377683,0.012479477,0.049039997,,0.053300533
147,Siyabonga Nhlapo,Chippa United FC,Right Back,8.341482,0.3507477,0.2600454,-0.0038472132,0.06716773,0.02738175,,0.017709948
148,Jamie Craig Webber,Sekhukhune United,Centre Attacking Midfielder,17.58074,0.2230384,0.09114384,-0.0009692805,0.057188913,0.07567492,,0.10267102
149,Lucky Benjamine Mohomi,Richards Bay FC,Left Defensive Midfielder,5.4742594,0.02711361,-0.00086001575,-0.013610444,0.011105189,0.030478874,,0.013560514
150,Teboho Mokoena,Mamelodi Sundowns FC,Centre Defensive Midfielder,14.421666,0.20811911,0.1480258,-0.03486387,0.010749445,0.08420773,,0.06917473
151,Keenan Leigh Phillips,Swallows FC,Right Back,15.345556,0.15901937,0.11689418,0.0007569894,0.0067617893,0.03460638,,0.0047693476
152,Iqraam Rayners,Stellenbosch FC,Centre Forward,28.166294,0.15984458,0.012316781,0.09423802,-0.0041525573,0.057442307,,0.37512285
153,Thamsanqa Aubrey Gabuza,TS Galaxy FC,Centre Forward,2.9466667,-0.16208147,0.009284911,-0.17354621,0.030396804,-0.028216965,,0.27704018
154,Ronwen Williams,Mamelodi Sundowns FC,Goalkeeper,23.743517,0.33888403,0.123230435,,-0.0027355999,0.06132168,0.1570675,0.0
155,Gape Moralo,SuperSport United FC,Left Defensive Midfielder,15.5609255,0.11734874,0.012392154,0.016075699,0.011601238,0.07727964,,0.105366044
156,Oswin Reagan Appollis,Polokwane City,Left Midfielder,26.474815,0.15457082,0.03156334,0.016095873,0.005969898,0.100941665,,0.17053387
157,Júnior Leandro Mendieta,Mamelodi Sundowns FC,Centre Attacking Midfielder,7.0116673,0.20031278,0.028322443,0.13571495,0.013602456,0.02267293,,0.24468368
158,Ashley Du Preez,Kaizer Chiefs FC,Centre Forward,19.148888,0.12500542,0.04439065,0.017340468,0.02307273,0.04020159,,0.19379517
159,Pule Sydney Mmodi,Kaizer Chiefs FC,Left Wing,22.48685,0.11881554,0.012422074,-0.004295486,0.024472231,0.086216725,,0.085720286
160,Sifiso Mlungwana,Lamontville Golden Arrows FC,Goalkeeper,8.633518,-0.47419843,0.09427593,,-0.075654365,0.06900015,-0.5618201,0.0
161,Nkosinathi Sibisi,Orlando Pirates FC,Right Centre Back,11.276667,0.104131244,0.095224515,-0.034541644,-0.0042596883,0.04770804,,0.022299834
162,Velemseni Ndwandwe,Lamontville Golden Arrows FC,Right Defensive Midfielder,15.250369,0.029312,0.032744132,-0.040503792,0.03643745,0.00063420885,,0.037074804
163,Divine Lunga,Mamelodi Sundowns FC,Left Centre Back,5.293889,0.10314693,0.06320136,-0.0046035084,0.009601894,0.034947194,,0.009447399
164,Gladwin Shitolo,Lamontville Golden Arrows FC,Right Centre Back,28.128515,0.15296608,0.052624993,0.028886197,0.045058325,0.026396561,,0.035349704
165,Lindokuhle Praise Mtshali,Swallows FC,Centre Attacking Midfielder,20.202776,0.15594442,0.05465205,0.010039555,0.024812149,0.066440664,,0.15630877
166,Ntsako Neverdie Makhubela,Richards Bay FC,Centre Attacking Midfielder,5.136482,0.11032433,0.042863213,-0.0028324723,0.029081514,0.041212074,,0.093422316
167,Ntsako Neverdie Makhubela,Swallows FC,Right Midfielder,10.569259,0.040527154,-0.019740975,0.024177223,-0.008768156,0.044859067,,0.09013335
168,Siyavuya Nelson Ndlovu,Lamontville Golden Arrows FC,Right Back,3.1714814,0.03931256,0.03538086,,-0.013046915,0.01697859,,0.0
169,Nduduzo Sibiya,Lamontville Golden Arrows FC,Left Wing,16.806852,0.06557624,0.0036168671,-0.03707767,0.02362173,0.075415306,,0.13043796
170,Thabani Zuke,Lamontville Golden Arrows FC,Right Defensive Midfielder,6.5724072,0.20376556,0.031191481,,0.080305256,0.09226882,,0.0
171,Mpho Mathebula,Richards Bay FC,Right Centre Midfielder,1.2692593,0.07099527,0.036821254,,-0.012331056,0.046505082,,0.0
172,Kamohelo Abel Mahlatsi,Chippa United FC,Left Wing,4.9353704,0.0713316,0.0065543544,-0.001677449,0.00337801,0.0630767,,0.06620608
173,Sfiso Sandile Hlanti,Kaizer Chiefs FC,Left Back,20.73704,0.20217419,0.16625352,-0.00094445894,0.011069154,0.025795963,,0.03679128
174,Givemore Khupe,Swallows FC,Left Defensive Midfielder,2.645,0.045023598,0.04057469,-0.0055312756,0.007061795,0.0029183854,,0.007227019
175,Darrel Matsheke,Stellenbosch FC,Centre Defensive Midfielder,7.2705555,0.23411852,0.02028022,0.11769917,0.042075485,0.054063648,,0.131621
176,Dumisani Zuma,Swallows FC,Centre Attacking Midfielder,3.695185,-0.07402959,-0.043866932,-0.049442787,0.020684263,-0.0014041162,,0.038299438
